model,direction,bleu_score,comet_mean
gemma3_27b_it,en2my,14.844007277899209,0.903101076
gemma3_27b_it,my2en,30.7936332323309,0.8528959486
gemma3_27b_it,my2zh,35.43096620220207,0.8604854255
gemma3_27b_it,zh2my,14.395162017233,0.8793479129
gemma4_31b_it,en2my,27.86574759946429,0.9287421429
gemma4_31b_it,my2en,36.12972326941544,0.8646927331
gemma4_31b_it,my2zh,38.22300776519105,0.8747814822
gemma4_31b_it,zh2my,26.036836013519654,0.9104827737
gemma4_moe_26b_a4b_it,en2my,26.342299738331207,0.9281715834
gemma4_moe_26b_a4b_it,my2en,34.11323303988884,0.861647407
gemma4_moe_26b_a4b_it,my2zh,36.54763278595923,0.8706785772
gemma4_moe_26b_a4b_it,zh2my,24.237265846712294,0.9085877586
hy_mt1_5_7b,en2my,15.258780229285547,0.9189566344
hy_mt1_5_7b,my2en,24.92919874487598,0.8439197402
hy_mt1_5_7b,my2zh,26.465123377859925,0.8553715945
hy_mt1_5_7b,zh2my,14.279804471711069,0.9004735989
niutrans_lmt_60_8b,en2my,16.23970489439321,0.8717316645
niutrans_lmt_60_8b,my2en,34.488904555073226,0.8499457793
niutrans_lmt_60_8b,my2zh,37.82148358253702,0.8620320472
niutrans_lmt_60_8b,zh2my,6.757524646436627,0.8053091925
qwen3_32b,en2my,15.907475925642261,0.8872974945
qwen3_32b,my2en,30.871733251914993,0.8529786095
qwen3_32b,my2zh,35.373088899112894,0.8625470537
qwen3_32b,zh2my,13.523653596838702,0.8585847969
qwen3_moe_30b_a3b,en2my,12.995778570344152,0.8411801852
qwen3_moe_30b_a3b,my2en,29.61810918220812,0.8374014981
qwen3_moe_30b_a3b,my2zh,36.2494150324698,0.8533710358
qwen3_moe_30b_a3b,zh2my,11.379166192713788,0.8078952492
